source,target,text,url
Adriano7_CRF,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Adriano7_CRF/status/1200419913913053184
kaalvees7,Flamengo,"😎😂🏆

📷: Marcelo Cortes/Flamengo https://t.co/zA0f6or0JE",https://twitter.com/kaalvees7/status/1200419881197461506
anaclara0917,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/anaclara0917/status/1200412928605859840
Rodrigo94481551,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/Rodrigo94481551/status/1200403457070514178
Rodrigo94481551,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Rodrigo94481551/status/1200403517720141824
NataliaCrisz,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/NataliaCrisz/status/1200419869407293443
crfHn17,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/crfHn17/status/1200395719229812736
crfHn17,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/crfHn17/status/1200405125459857408
Darklarryzinha,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Darklarryzinha/status/1200419803619561472
Darklarryzinha,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/Darklarryzinha/status/1200419323866689538
jacas34,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/jacas34/status/1200395741635760129
jacas34,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/jacas34/status/1200389244184940547
jacas34,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/jacas34/status/1200393293600841729
Opadedesa,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Opadedesa/status/1200419745302032384
AnaPaul62755717,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/AnaPaul62755717/status/1200404457202356228
AnaPaul62755717,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/AnaPaul62755717/status/1200405178488410112
dudesposito,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/dudesposito/status/1200419728214372359
Josesrn1,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Josesrn1/status/1200419230891565058
Josesrn1,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/Josesrn1/status/1200419191054127104
Josesrn1,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/Josesrn1/status/1200419245877846016
RosiMeloo,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/RosiMeloo/status/1200419699701489664
geroge_patrick,Flamengo,"😎😂🏆

📷: Marcelo Cortes/Flamengo https://t.co/zA0f6or0JE",https://twitter.com/geroge_patrick/status/1200419676116934656
geroge_patrick,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/geroge_patrick/status/1200419616662708224
geroge_patrick,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/geroge_patrick/status/1200419588988686336
geroge_patrick,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/geroge_patrick/status/1200419639693582337
